Sl,Season,Horn,Day,Species,Trap1,Trap2,Total
1WH01,1,WH,8,BH,0,0,0
1WH01,1,WH,8,CA,0,0,0
1WH01,1,WH,8,CP,0,2,2
1WH01,1,WH,8,DB,4,3,7
1WH01,1,WH,8,GK,0,0,0
1WH01,1,WH,8,KH,3,1,4
1WH01,1,WH,8,LI,0,0,0
1WH01,1,WH,8,RT,0,0,0
1WH01,1,WH,9,AM,0,0,0
1WH01,1,WH,9,AS,0,0,0
1WH01,1,WH,9,BH,0,0,0
1WH01,1,WH,9,CA,0,0,0
1WH01,1,WH,9,CP,1,0,1
1WH01,1,WH,9,DB,0,1,1
1WH01,1,WH,9,GK,0,0,0
1WH01,1,WH,9,KH,2,2,4
1WH01,1,WH,9,LI,0,0,0
1WH01,1,WH,9,RT,0,0,0
1WH01,1,WH,10,AM,1,0,1
1WH01,1,WH,10,AS,0,0,0
1WH01,1,WH,10,BH,0,0,0
1WH01,1,WH,10,CA,8,1,9
1WH01,1,WH,10,CP,0,0,0
1WH01,1,WH,10,DB,0,0,0
1WH01,1,WH,10,GK,0,0,0
1WH01,1,WH,10,KH,5,1,6
1WH01,1,WH,10,LI,0,0,0
1WH01,1,WH,10,RT,0,0,0
1WH01,1,WH,11,AM,1,3,4
1WH01,1,WH,11,AS,0,0,0
1WH01,1,WH,11,BH,0,0,0
1WH01,1,WH,11,CA,4,7,11
1WH01,1,WH,11,CP,0,0,0
1WH01,1,WH,11,DB,0,0,0
1WH01,1,WH,11,GK,0,0,0
1WH01,1,WH,11,KH,5,6,11
1WH01,1,WH,11,LI,0,0,0
1WH01,1,WH,11,RT,0,0,0
1WH01,1,WH,12,AM,1,2,3
1WH01,1,WH,12,AS,0,0,0
1WH01,1,WH,12,BH,0,0,0
1WH01,1,WH,12,CA,3,1,4
1WH01,1,WH,12,CP,0,0,0
1WH01,1,WH,12,DB,0,1,1
1WH01,1,WH,12,GK,0,0,0
1WH01,1,WH,12,KH,5,2,7
1WH01,1,WH,12,LI,0,0,0
1WH01,1,WH,12,RT,0,0,0
1WH01,1,WH,13,AM,2,1,3
1WH01,1,WH,13,AS,0,0,0
1WH01,1,WH,13,BH,0,0,0
1WH01,1,WH,13,CA,2,4,6
1WH01,1,WH,13,CP,0,0,0
1WH01,1,WH,13,DB,0,0,0
1WH01,1,WH,13,GK,0,0,0
1WH01,1,WH,13,KH,7,2,9
1WH01,1,WH,13,LI,0,0,0
1WH01,1,WH,13,RT,0,0,0
1WH01,1,WH,14,AM,3,7,10
1WH01,1,WH,14,AS,0,0,0
1WH01,1,WH,14,BH,0,0,0
1WH01,1,WH,14,CA,7,9,16
1WH01,1,WH,14,CP,0,0,0
1WH01,1,WH,14,DB,0,0,0
1WH01,1,WH,14,GK,0,0,0
1WH01,1,WH,14,KH,8,5,13
1WH01,1,WH,14,LI,0,0,0
1WH01,1,WH,14,RT,0,0,0
1WH01,1,WH,15,AM,0,1,1
1WH01,1,WH,15,AS,0,0,0
1WH01,1,WH,15,BH,0,0,0
1WH01,1,WH,15,CA,0,0,0
1WH01,1,WH,15,CP,2,0,2
1WH01,1,WH,15,DB,1,0,1
1WH01,1,WH,15,GK,0,0,0
1WH01,1,WH,15,KH,5,1,6
1WH01,1,WH,15,LI,0,0,0
1WH01,1,WH,15,RT,0,0,0
1WH01,1,WH,16,AM,2,1,3
1WH01,1,WH,16,AS,0,0,0
1WH01,1,WH,16,BH,0,0,0
1WH01,1,WH,16,CA,3,2,5
1WH01,1,WH,16,CP,0,0,0
1WH01,1,WH,16,DB,0,0,0
1WH01,1,WH,16,GK,0,0,0
1WH01,1,WH,16,KH,1,2,3
1WH01,1,WH,16,LI,0,0,0
1WH01,1,WH,16,RT,0,0,0
2WH02/GH01,1,WH,1,AM,0,0,0
2WH02/GH01,1,WH,1,AS,0,0,0
2WH02/GH01,1,WH,1,BH,0,0,0
2WH02/GH01,1,WH,1,CA,0,0,0
2WH02/GH01,1,WH,1,CP,0,4,4
2WH02/GH01,1,WH,1,DB,6,5,11
2WH02/GH01,1,WH,1,GK,0,0,0
2WH02/GH01,1,WH,1,KH,0,0,0
2WH02/GH01,1,WH,1,LI,20,0,20
2WH02/GH01,1,WH,1,RT,0,0,0
2WH02/GH01,1,WH,2,AM,0,0,0
2WH02/GH01,1,WH,2,AS,0,0,0
2WH02/GH01,1,WH,2,BH,0,0,0
2WH02/GH01,1,WH,2,CA,0,0,0
2WH02/GH01,1,WH,2,CP,0,0,0
2WH02/GH01,1,WH,2,DB,9,5,14
2WH02/GH01,1,WH,2,GK,0,0,0
2WH02/GH01,1,WH,2,KH,3,3,6
2WH02/GH01,1,WH,2,LI,0,0,0
2WH02/GH01,1,WH,2,RT,0,0,0
2WH02/GH01,1,WH,3,AM,0,0,0
2WH02/GH01,1,WH,3,AS,0,0,0
2WH02/GH01,1,WH,3,BH,0,0,0
2WH02/GH01,1,WH,3,CA,0,0,0
2WH02/GH01,1,WH,3,CP,0,0,0
2WH02/GH01,1,WH,3,DB,11,6,17
2WH02/GH01,1,WH,3,GK,0,0,0
2WH02/GH01,1,WH,3,KH,0,0,0
2WH02/GH01,1,WH,3,LI,0,0,0
2WH02/GH01,1,WH,3,RT,0,0,0
2WH02/GH01,1,WH,4,AM,0,0,0
2WH02/GH01,1,WH,4,AS,0,0,0
2WH02/GH01,1,WH,4,BH,0,0,0
2WH02/GH01,1,WH,4,CA,0,0,0
2WH02/GH01,1,WH,4,CP,0,5,5
2WH02/GH01,1,WH,4,DB,6,5,11
2WH02/GH01,1,WH,4,GK,0,0,0
2WH02/GH01,1,WH,4,KH,3,0,3
2WH02/GH01,1,WH,4,LI,0,0,0
2WH02/GH01,1,WH,4,RT,0,0,0
2WH02/GH01,1,WH,5,AM,0,0,0
2WH02/GH01,1,WH,5,AS,0,0,0
2WH02/GH01,1,WH,5,BH,0,0,0
2WH02/GH01,1,WH,5,CA,0,0,0
2WH02/GH01,1,WH,5,CP,5,6,11
2WH02/GH01,1,WH,5,DB,0,14,14
2WH02/GH01,1,WH,5,GK,0,0,0
2WH02/GH01,1,WH,5,KH,2,0,2
2WH02/GH01,1,WH,5,LI,0,0,0
2WH02/GH01,1,WH,5,RT,0,0,0
2WH02/GH01,1,WH,6,AM,0,0,0
2WH02/GH01,1,WH,6,AS,0,0,0
2WH02/GH01,1,WH,6,BH,0,0,0
2WH02/GH01,1,WH,6,CA,0,0,0
2WH02/GH01,1,WH,6,CP,0,0,0
2WH02/GH01,1,WH,6,DB,7,2,9
2WH02/GH01,1,WH,6,GK,0,0,0
2WH02/GH01,1,WH,6,KH,1,1,2
2WH02/GH01,1,WH,6,LI,0,0,0
2WH02/GH01,1,WH,6,RT,0,0,0
2WH02/GH01,1,WH,7,AM,0,0,0
2WH02/GH01,1,WH,7,AS,0,0,0
2WH02/GH01,1,WH,7,BH,0,0,0
2WH02/GH01,1,WH,7,CA,0,0,0
2WH02/GH01,1,WH,7,CP,6,1,7
2WH02/GH01,1,WH,7,DB,18,4,22
2WH02/GH01,1,WH,7,GK,0,0,0
2WH02/GH01,1,WH,7,KH,9,7,16
2WH02/GH01,1,WH,7,LI,0,3,3
2WH02/GH01,1,WH,7,RT,0,0,0
2WH02/GH01,1,WH,8,AM,0,1,1
2WH02/GH01,1,WH,8,AS,0,0,0
2WH02/GH01,1,WH,8,BH,0,0,0
2WH02/GH01,1,WH,8,CA,0,0,0
2WH02/GH01,1,WH,8,CP,1,3,4
2WH02/GH01,1,WH,8,DB,7,6,13
2WH02/GH01,1,WH,8,GK,0,0,0
2WH02/GH01,1,WH,8,KH,4,0,4
2WH02/GH01,1,WH,8,LI,1,0,1
2WH02/GH01,1,WH,8,RT,0,0,0
2WH02/GH01,1,WH,9,AM,1,0,1
2WH02/GH01,1,WH,9,AS,0,0,0
2WH02/GH01,1,WH,9,BH,0,0,0
2WH02/GH01,1,WH,9,CA,0,0,0
2WH02/GH01,1,WH,9,CP,5,4,9
2WH02/GH01,1,WH,9,DB,8,5,13
2WH02/GH01,1,WH,9,GK,0,0,0
2WH02/GH01,1,WH,9,KH,0,3,3
2WH02/GH01,1,WH,9,LI,0,0,0
2WH02/GH01,1,WH,9,RT,0,0,0
2WH02/GH01,1,WH,10,AM,0,1,1
2WH02/GH01,1,WH,10,AS,0,0,0
2WH02/GH01,1,WH,10,BH,0,0,0
2WH02/GH01,1,WH,10,CA,0,0,0
2WH02/GH01,1,WH,10,CP,1,2,3
2WH02/GH01,1,WH,10,DB,3,1,4
2WH02/GH01,1,WH,10,GK,0,0,0
2WH02/GH01,1,WH,10,KH,4,0,4
2WH02/GH01,1,WH,10,LI,0,0,0
2WH02/GH01,1,WH,10,RT,0,0,0
2WH02/GH01,1,WH,11,AM,7,2,9
2WH02/GH01,1,WH,11,AS,0,0,0
2WH02/GH01,1,WH,11,BH,0,0,0
2WH02/GH01,1,WH,11,CA,0,0,0
2WH02/GH01,1,WH,11,CP,0,0,0
2WH02/GH01,1,WH,11,DB,1,0,1
2WH02/GH01,1,WH,11,GK,0,0,0
2WH02/GH01,1,WH,11,KH,21,25,46
2WH02/GH01,1,WH,11,LI,0,0,0
2WH02/GH01,1,WH,11,RT,0,0,0
2WH02/GH01,1,WH,12,AM,2,3,5
2WH02/GH01,1,WH,12,AS,0,0,0
2WH02/GH01,1,WH,12,BH,0,0,0
2WH02/GH01,1,WH,12,CA,0,0,0
2WH02/GH01,1,WH,12,CP,0,0,0
2WH02/GH01,1,WH,12,DB,0,0,0
2WH02/GH01,1,WH,12,GK,0,0,0
2WH02/GH01,1,WH,12,KH,2,1,3
2WH02/GH01,1,WH,12,LI,0,0,0
2WH02/GH01,1,WH,12,RT,0,0,0
2WH02/GH01,1,WH,13,AM,2,1,3
2WH02/GH01,1,WH,13,AS,0,0,0
2WH02/GH01,1,WH,13,BH,0,0,0
2WH02/GH01,1,WH,13,CA,5,9,14
2WH02/GH01,1,WH,13,CP,0,0,0
2WH02/GH01,1,WH,13,DB,0,0,0
2WH02/GH01,1,WH,13,GK,0,0,0
2WH02/GH01,1,WH,13,KH,5,7,12
2WH02/GH01,1,WH,13,LI,0,0,0
2WH02/GH01,1,WH,13,RT,0,0,0
2WH02/GH01,1,WH,14,AM,0,7,7
2WH02/GH01,1,WH,14,AS,0,0,0
2WH02/GH01,1,WH,14,BH,0,0,0
2WH02/GH01,1,WH,14,CA,6,3,9
2WH02/GH01,1,WH,14,CP,0,0,0
2WH02/GH01,1,WH,14,DB,0,0,0
2WH02/GH01,1,WH,14,GK,0,0,0
2WH02/GH01,1,WH,14,KH,5,8,13
2WH02/GH01,1,WH,14,LI,0,0,0
2WH02/GH01,1,WH,14,RT,0,0,0
2WH02/GH01,1,WH,15,AM,5,1,6
2WH02/GH01,1,WH,15,AS,0,0,0
2WH02/GH01,1,WH,15,BH,0,0,0
2WH02/GH01,1,WH,15,CA,4,1,5
2WH02/GH01,1,WH,15,CP,0,0,0
2WH02/GH01,1,WH,15,DB,0,0,0
2WH02/GH01,1,WH,15,GK,0,0,0
2WH02/GH01,1,WH,15,KH,3,5,8
2WH02/GH01,1,WH,15,LI,0,0,0
2WH02/GH01,1,WH,15,RT,0,0,0
2WH02/GH01,1,WH,16,AM,3,1,4
2WH02/GH01,1,WH,16,AS,0,0,0
2WH02/GH01,1,WH,16,BH,0,0,0
2WH02/GH01,1,WH,16,CA,0,0,0
2WH02/GH01,1,WH,16,CP,0,0,0
2WH02/GH01,1,WH,16,DB,0,0,0
2WH02/GH01,1,WH,16,GK,0,0,0
2WH02/GH01,1,WH,16,KH,2,3,5
2WH02/GH01,1,WH,16,LI,0,0,0
2WH02/GH01,1,WH,16,RT,0,0,0
2WH02/GH01,1,WH,17,AM,2,0,2
2WH02/GH01,1,WH,17,AS,0,0,0
2WH02/GH01,1,WH,17,BH,0,0,0
2WH02/GH01,1,WH,17,CA,6,2,8
2WH02/GH01,1,WH,17,CP,0,0,0
2WH02/GH01,1,WH,17,DB,0,0,0
2WH02/GH01,1,WH,17,GK,0,0,0
2WH02/GH01,1,WH,17,KH,4,1,5
2WH02/GH01,1,WH,17,LI,0,0,0
2WH02/GH01,1,WH,17,RT,0,0,0
33GH14,1,GH,1,AM,0,0,0
33GH14,1,GH,1,AS,0,0,0
33GH14,1,GH,1,BH,0,0,0
33GH14,1,GH,1,CA,0,0,0
33GH14,1,GH,1,CP,0,0,0
33GH14,1,GH,1,DB,0,1,1
33GH14,1,GH,1,GK,0,0,0
33GH14,1,GH,1,KH,0,0,0
33GH14,1,GH,1,LI,0,0,0
33GH14,1,GH,1,RT,0,0,0
33GH14,1,GH,2,AM,0,0,0
33GH14,1,GH,2,AS,0,0,0
33GH14,1,GH,2,BH,0,0,0
33GH14,1,GH,2,CA,0,0,0
33GH14,1,GH,2,CP,0,0,0
33GH14,1,GH,2,DB,3,2,5
33GH14,1,GH,2,GK,0,0,0
33GH14,1,GH,2,KH,0,0,0
33GH14,1,GH,2,LI,0,0,0
33GH14,1,GH,2,RT,0,0,0
33GH14,1,GH,3,AM,0,0,0
33GH14,1,GH,3,AS,0,0,0
33GH14,1,GH,3,BH,0,0,0
33GH14,1,GH,3,CA,0,0,0
33GH14,1,GH,3,CP,0,0,0
33GH14,1,GH,3,DB,0,0,0
33GH14,1,GH,3,GK,0,0,0
33GH14,1,GH,3,KH,0,0,0
33GH14,1,GH,3,LI,0,0,0
33GH14,1,GH,3,RT,0,0,0
33GH14,1,GH,4,AM,0,0,0
33GH14,1,GH,4,AS,0,0,0
33GH14,1,GH,4,BH,0,0,0
33GH14,1,GH,4,CA,0,0,0
33GH14,1,GH,4,CP,0,3,3
33GH14,1,GH,4,DB,4,0,4
33GH14,1,GH,4,GK,0,0,0
33GH14,1,GH,4,KH,3,0,3
33GH14,1,GH,4,LI,0,5,5
33GH14,1,GH,4,RT,0,0,0
33GH14,1,GH,5,AM,0,0,0
33GH14,1,GH,5,AS,0,0,0
33GH14,1,GH,5,BH,0,0,0
33GH14,1,GH,5,CA,0,0,0
33GH14,1,GH,5,CP,6,0,6
33GH14,1,GH,5,DB,0,3,3
33GH14,1,GH,5,GK,0,0,0
33GH14,1,GH,5,KH,5,0,5
33GH14,1,GH,5,LI,0,0,0
33GH14,1,GH,5,RT,0,0,0
33GH14,1,GH,6,AM,0,1,1
33GH14,1,GH,6,AS,0,0,0
33GH14,1,GH,6,BH,0,0,0
33GH14,1,GH,6,CA,0,0,0
33GH14,1,GH,6,CP,1,0,1
33GH14,1,GH,6,DB,7,2,9
33GH14,1,GH,6,GK,0,0,0
33GH14,1,GH,6,KH,5,3,8
33GH14,1,GH,6,LI,0,0,0
33GH14,1,GH,6,RT,0,0,0
33GH14,1,GH,7,AM,0,1,1
33GH14,1,GH,7,AS,0,0,0
33GH14,1,GH,7,BH,0,0,0
33GH14,1,GH,7,CA,0,0,0
33GH14,1,GH,7,CP,3,2,5
33GH14,1,GH,7,DB,7,8,15
33GH14,1,GH,7,GK,0,0,0
33GH14,1,GH,7,KH,2,2,4
33GH14,1,GH,7,LI,0,0,0
33GH14,1,GH,7,RT,0,0,0
33GH14,1,GH,8,AM,0,0,0
33GH14,1,GH,8,AS,0,0,0
33GH14,1,GH,8,BH,0,0,0
33GH14,1,GH,8,CA,0,0,0
33GH14,1,GH,8,CP,3,4,7
33GH14,1,GH,8,DB,4,2,6
33GH14,1,GH,8,GK,0,0,0
33GH14,1,GH,8,KH,2,1,3
33GH14,1,GH,8,LI,0,0,0
33GH14,1,GH,8,RT,0,0,0
33GH14,1,GH,9,AM,0,0,0
33GH14,1,GH,9,AS,0,0,0
33GH14,1,GH,9,BH,0,0,0
33GH14,1,GH,9,CA,0,0,0
33GH14,1,GH,9,CP,2,3,5
33GH14,1,GH,9,DB,5,3,8
33GH14,1,GH,9,GK,0,0,0
33GH14,1,GH,9,KH,1,2,3
33GH14,1,GH,9,LI,0,0,0
33GH14,1,GH,9,RT,0,0,0
33GH14,1,GH,10,AM,0,1,1
33GH14,1,GH,10,AS,0,0,0
33GH14,1,GH,10,BH,0,0,0
33GH14,1,GH,10,CA,0,1,1
33GH14,1,GH,10,CP,1,0,1
33GH14,1,GH,10,DB,3,0,3
33GH14,1,GH,10,GK,0,0,0
33GH14,1,GH,10,KH,1,0,1
33GH14,1,GH,10,LI,0,0,0
33GH14,1,GH,10,RT,0,0,0
33GH14,1,GH,11,AM,0,0,0
33GH14,1,GH,11,AS,0,0,0
33GH14,1,GH,11,BH,0,0,0
33GH14,1,GH,11,CA,1,0,1
33GH14,1,GH,11,CP,0,0,0
33GH14,1,GH,11,DB,0,0,0
33GH14,1,GH,11,GK,0,0,0
33GH14,1,GH,11,KH,0,2,2
33GH14,1,GH,11,LI,0,0,0
33GH14,1,GH,11,RT,0,0,0
33GH14,1,GH,12,AM,2,0,2
33GH14,1,GH,12,AS,0,0,0
33GH14,1,GH,12,BH,0,0,0
33GH14,1,GH,12,CA,0,0,0
33GH14,1,GH,12,CP,0,0,0
33GH14,1,GH,12,DB,0,0,0
33GH14,1,GH,12,GK,0,0,0
33GH14,1,GH,12,KH,0,1,1
33GH14,1,GH,12,LI,0,0,0
33GH14,1,GH,12,RT,0,0,0
33GH14,1,GH,13,AM,6,1,7
33GH14,1,GH,13,AS,0,0,0
33GH14,1,GH,13,BH,0,0,0
33GH14,1,GH,13,CA,4,3,7
33GH14,1,GH,13,CP,0,0,0
33GH14,1,GH,13,DB,0,0,0
33GH14,1,GH,13,GK,0,0,0
33GH14,1,GH,13,KH,5,3,8
33GH14,1,GH,13,LI,0,0,0
33GH14,1,GH,13,RT,0,0,0
33GH14,1,GH,14,AM,2,1,3
33GH14,1,GH,14,AS,0,0,0
33GH14,1,GH,14,BH,0,0,0
33GH14,1,GH,14,CA,1,3,4
33GH14,1,GH,14,CP,0,0,0
33GH14,1,GH,14,DB,0,0,0
33GH14,1,GH,14,GK,0,0,0
33GH14,1,GH,14,KH,5,1,6
33GH14,1,GH,14,LI,0,0,0
33GH14,1,GH,14,RT,0,0,0
33GH14,1,GH,15,AM,4,0,4
33GH14,1,GH,15,AS,0,0,0
33GH14,1,GH,15,BH,0,0,0
33GH14,1,GH,15,CA,1,0,1
33GH14,1,GH,15,CP,0,0,0
33GH14,1,GH,15,DB,0,0,0
33GH14,1,GH,15,GK,0,0,0
33GH14,1,GH,15,KH,15,1,16
33GH14,1,GH,15,LI,0,0,0
33GH14,1,GH,15,RT,0,0,0
33GH14,1,GH,16,AM,1,1,2
33GH14,1,GH,16,AS,0,0,0
33GH14,1,GH,16,BH,0,0,0
33GH14,1,GH,16,CA,0,0,0
33GH14,1,GH,16,CP,0,0,0
33GH14,1,GH,16,DB,0,0,0
33GH14,1,GH,16,GK,0,0,0
33GH14,1,GH,16,KH,0,1,1
33GH14,1,GH,16,LI,0,0,0
33GH14,1,GH,16,RT,0,0,0
33GH14,1,GH,17,AM,1,1,2
33GH14,1,GH,17,AS,0,0,0
33GH14,1,GH,17,BH,0,0,0
33GH14,1,GH,17,CA,3,0,3
33GH14,1,GH,17,CP,0,0,0
33GH14,1,GH,17,DB,0,0,0
33GH14,1,GH,17,GK,0,0,0
33GH14,1,GH,17,KH,2,1,3
33GH14,1,GH,17,LI,0,0,0
33GH14,1,GH,17,RT,0,0,0
4WH03,1,WH,1,AM,5,5,10
4WH03,1,WH,1,AS,9,0,9
4WH03,1,WH,1,BH,0,0,0
4WH03,1,WH,1,CA,0,21,21
4WH03,1,WH,1,CP,0,0,0
4WH03,1,WH,1,DB,0,0,0
4WH03,1,WH,1,GK,0,0,0
4WH03,1,WH,1,KH,12,19,31
4WH03,1,WH,1,LI,0,0,0
4WH03,1,WH,1,RT,0,0,0
4WH03,1,WH,2,AM,2,1,3
4WH03,1,WH,2,AS,0,0,0
4WH03,1,WH,2,BH,0,0,0
4WH03,1,WH,2,CA,10,5,15
4WH03,1,WH,2,CP,0,0,0
4WH03,1,WH,2,DB,0,0,0
4WH03,1,WH,2,GK,0,0,0
4WH03,1,WH,2,KH,3,7,10
4WH03,1,WH,2,LI,0,0,0
4WH03,1,WH,2,RT,0,0,0
4WH03,1,WH,3,AM,3,0,3
4WH03,1,WH,3,AS,0,0,0
4WH03,1,WH,3,BH,0,0,0
4WH03,1,WH,3,CA,4,3,7
4WH03,1,WH,3,CP,0,0,0
4WH03,1,WH,3,DB,0,0,0
4WH03,1,WH,3,GK,0,0,0
4WH03,1,WH,3,KH,5,2,7
4WH03,1,WH,3,LI,0,0,0
4WH03,1,WH,3,RT,0,0,0
4WH03,1,WH,4,AM,4,7,11
4WH03,1,WH,4,AS,0,0,0
4WH03,1,WH,4,BH,0,0,0
4WH03,1,WH,4,CA,6,9,15
4WH03,1,WH,4,CP,0,1,1
4WH03,1,WH,4,DB,0,0,0
4WH03,1,WH,4,GK,0,0,0
4WH03,1,WH,4,KH,5,3,8
4WH03,1,WH,4,LI,0,0,0
4WH03,1,WH,4,RT,0,0,0
4WH03,1,WH,5,AM,4,5,9
4WH03,1,WH,5,AS,0,0,0
4WH03,1,WH,5,BH,0,0,0
4WH03,1,WH,5,CA,3,3,6
4WH03,1,WH,5,CP,0,0,0
4WH03,1,WH,5,DB,0,0,0
4WH03,1,WH,5,GK,0,0,0
4WH03,1,WH,5,KH,7,3,10
4WH03,1,WH,5,LI,0,0,0
4WH03,1,WH,5,RT,0,0,0
4WH03,1,WH,6,AM,11,9,20
4WH03,1,WH,6,AS,0,0,0
4WH03,1,WH,6,BH,0,0,0
4WH03,1,WH,6,CA,9,3,12
4WH03,1,WH,6,CP,0,0,0
4WH03,1,WH,6,DB,0,0,0
4WH03,1,WH,6,GK,0,0,0
4WH03,1,WH,6,KH,7,5,12
4WH03,1,WH,6,LI,0,0,0
4WH03,1,WH,6,RT,0,0,0
7GH04/WH13,1,GH,1,AM,0,0,0
7GH04/WH13,1,GH,1,AS,0,0,0
7GH04/WH13,1,GH,1,BH,0,0,0
7GH04/WH13,1,GH,1,CA,0,0,0
7GH04/WH13,1,GH,1,CP,0,0,0
7GH04/WH13,1,GH,1,DB,6,4,10
7GH04/WH13,1,GH,1,GK,0,0,0
7GH04/WH13,1,GH,1,KH,1,1,2
7GH04/WH13,1,GH,1,LI,0,0,0
7GH04/WH13,1,GH,1,RT,0,0,0
7GH04/WH13,1,GH,2,AM,0,0,0
7GH04/WH13,1,GH,2,AS,0,0,0
7GH04/WH13,1,GH,2,BH,0,0,0
7GH04/WH13,1,GH,2,CA,0,0,0
7GH04/WH13,1,GH,2,CP,0,0,0
7GH04/WH13,1,GH,2,DB,7,5,12
7GH04/WH13,1,GH,2,GK,0,0,0
7GH04/WH13,1,GH,2,KH,0,0,0
7GH04/WH13,1,GH,2,LI,0,0,0
7GH04/WH13,1,GH,2,RT,0,0,0
7GH04/WH13,1,GH,3,AM,0,0,0
7GH04/WH13,1,GH,3,AS,0,0,0
7GH04/WH13,1,GH,3,BH,0,0,0
7GH04/WH13,1,GH,3,CA,0,0,0
7GH04/WH13,1,GH,3,CP,0,0,0
7GH04/WH13,1,GH,3,DB,5,6,11
7GH04/WH13,1,GH,3,GK,0,0,0
7GH04/WH13,1,GH,3,KH,0,1,1
7GH04/WH13,1,GH,3,LI,0,0,0
7GH04/WH13,1,GH,3,RT,0,0,0
7GH04/WH13,1,GH,4,AM,0,0,0
7GH04/WH13,1,GH,4,AS,0,0,0
7GH04/WH13,1,GH,4,BH,0,0,0
7GH04/WH13,1,GH,4,CA,0,0,0
7GH04/WH13,1,GH,4,CP,0,5,5
7GH04/WH13,1,GH,4,DB,5,3,8
7GH04/WH13,1,GH,4,GK,0,0,0
7GH04/WH13,1,GH,4,KH,1,0,1
7GH04/WH13,1,GH,4,LI,0,5,5
7GH04/WH13,1,GH,4,RT,0,0,0
7GH04/WH13,1,GH,5,AM,0,0,0
7GH04/WH13,1,GH,5,AS,0,0,0
7GH04/WH13,1,GH,5,BH,0,0,0
7GH04/WH13,1,GH,5,CA,0,0,0
7GH04/WH13,1,GH,5,CP,5,0,5
7GH04/WH13,1,GH,5,DB,0,8,8
7GH04/WH13,1,GH,5,GK,0,0,0
7GH04/WH13,1,GH,5,KH,6,6,12
7GH04/WH13,1,GH,5,LI,0,0,0
7GH04/WH13,1,GH,5,RT,0,0,0
7GH04/WH13,1,GH,6,AM,0,1,1
7GH04/WH13,1,GH,6,AS,0,0,0
7GH04/WH13,1,GH,6,BH,0,0,0
7GH04/WH13,1,GH,6,CA,0,0,0
7GH04/WH13,1,GH,6,CP,3,2,5
7GH04/WH13,1,GH,6,DB,6,10,16
7GH04/WH13,1,GH,6,GK,0,0,0
7GH04/WH13,1,GH,6,KH,5,4,9
7GH04/WH13,1,GH,6,LI,0,0,0
7GH04/WH13,1,GH,6,RT,0,0,0
