Grid No,Plot No,Total,Density,Spread,Hermit Crab,Canopy ,Depth ,Creek Dist, Mouth Dist,Mouth D2,Salinity ,Fish abundance,Fish richness
6,5,204,29.14285714,0.38180789,19,97.4,60.5,140.1,375.77,530.24,30.8,3,1
11,5,153,21.85714286,0.568026126,2,86.22,20.7,142.7,263.71,210.33,40.08,0,0
6,3,242,34.57142857,0.710663715,0,96.88,50.8,150.36,369.69,522.81,30.8,4,1
12,5,226,32.28571429,0.303326034,18,94.54,50.2,157.34,17.63,15.14,45.73,8,1
18,5,39,5.571428571,1.670475595,4,95.06,32.3,165.9,354,514.69,30.8,20,1
6,2,161,23,0.304347826,3,85.96,20.5,166.46,383.63,511.56,30.8,6,2
1,3,175,25,0.447213595,1,83.88,9.8,167.37,247.21,136.11,30.8,0,0
1,4,148,21.14285714,1.107682296,4,92.98,9,170.3,224.38,138.6,30.8,0,0
18,2,144,20.57142857,0.381586533,10,97.4,33,173.08,376.67,505.54,30.8,32,2
18,3,244,34.85714286,0.276874521,47,98.96,23.3,173.76,366.11,486.33,30.8,10,1
1,1,191,27.28571429,0.556905,9,95.06,15,180.76,267.75,136.52,30.8,0,0
18,1,375,53.57142857,0.339585804,0,100,30.2,184.76,395.27,509.71,30.8,28,2
6,4,124,17.71428571,0.322177167,1,93.24,40.5,189,418.28,533.18,30.8,16,2
6,1,53,7.571428571,0.892062489,6,40.72,30.7,189.36,407.91,536.52,30.8,0,0
18,4,153,21.85714286,0.732230364,34,95.84,26.8,191.21,383.62,502.98,30.8,3,1
1,2,111,15.85714286,0.803840577,1,95.58,10,200.38,274.07,143.62,30.8,0,0
20,5,124,17.71428571,0.540202201,10,93.76,20.4,241.11,386.29,516.25,30.8,5,1
7,5,312,44.57142857,0.598924611,5,95.58,60,250.65,510.61,553,40.81,0,0
20,3,206,29.42857143,0.50852073,4,94.28,40,253.14,383.4,501.82,30.72,0,0
19,3,180,25.71428571,0.49584695,6,96.88,60,255.59,432.29,502.16,30.8,40,1
19,4,137,19.57142857,0.548611896,14,98.44,40.7,258.85,452.46,517.69,30.8,30,1
1,5,60,8.571428571,1.338462357,1,94.8,29,265.15,291.1,143.11,30.8,0,0
19,1,114,16.28571429,0.838717601,0,91.68,20,271.97,473.34,518.02,30.8,3,1
7,1,214,30.57142857,0.344032304,1,56.32,40.9,272.36,530.52,553,40.81,0,0
20,2,140,20,0.497493719,6,98.44,10.8,272.6,414.35,515.85,30.72,7,1
20,1,54,7.714285714,0.606699377,0,79.2,9,274.24,430.83,530.44,30.72,0,0
7,4,210,30,0.385381004,0,94.94,60,275.97,544.54,553,40.81,0,0
7,2,205,29.28571429,0.582397624,9,88.56,70,276.92,521.1,553,40.81,0,0
19,2,73,10.42857143,0.748635672,12,99.48,30.9,277.22,477.6,515.33,30.8,3,1
19,5,120,17.14285714,0.688093178,2,96.1,30.9,294.36,472.15,32.41,30.8,6,1
20,4,131,18.71428571,0.65131997,21,92.46,20.7,297.91,426.22,519.21,30.72,9,2
7,3,175,25,0.537152989,2,95.58,80,299.7,558.63,553,40.81,0,0
8,5,372,53.14285714,0.518917015,1,97.14,50.4,318.61,593.66,553,30.8,0,0
8,2,170,24.28571429,0.40881295,12,92.2,50.7,337.05,600.9,553,30.8,6,1
8,1,85,12.14285714,0.923710486,5,79.2,40.5,341.2,612.96,553,35.81,0,0
8,3,182,26,0.548891657,10,98.18,40.9,347.7,625.88,553,30.8,0,0
8,4,178,25.42857143,0.586318792,0,93.76,50.2,362.96,631.36,553,30.8,0,0
