"","Grid.No","Plot.No","Family","Species","Size","Max.Length","Type","Creek","Canopy","Depth","Density","Mouth","Salinity","Crab","Spread","CM","Class","count"
"55",5,1,"Eleotrididae","Eleotris fusca",5,26,"E",92.39,63.6,25,13.71428571,359.17,30.8,0,0.736078354,534.74,6,1
"56",5,1,"Eleotrididae","Bostrychus sinensis",7.99,22,"E",92.39,63.6,25,13.71428571,359.17,30.8,0,0.736078354,534.74,8,1
"57",5,2,"Gobidae","Acentrogobius sp",2.5,0,"E",69.59,96.88,30,18.85714286,332.7,30.8,0,0.434534255,530.28,4,1
"58",5,2,"Gobidae","Acentrogobius sp",3,0,"E",69.59,96.88,30,18.85714286,332.7,30.8,0,0.434534255,530.28,4,1
"59",5,2,"Gobidae","Acentrogobius sp",4,0,"E",69.59,96.88,30,18.85714286,332.7,30.8,0,0.434534255,530.28,4,1
"60",5,3,"Gobidae","Glosogobius",3,0,"E",45.76,95.06,60,20.71428571,306.36,30.8,1,0.542406961,525.15,4,1
"61",5,3,"Gobidae","Glosogobius",4,0,"E",45.76,95.06,60,20.71428571,306.36,30.8,1,0.542406961,525.15,4,1
"62",5,3,"Eleotrididae","Butis butis",4,15,"E",45.76,95.06,60,20.71428571,306.36,30.8,1,0.542406961,525.15,4,1
"63",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"64",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"65",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"66",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"67",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"68",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"69",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"70",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"71",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"72",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"73",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"74",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"75",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"76",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"77",5,4,"Horaichthyidae","Horaichthyidae",1,3,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"78",5,4,"Gobidae","Acentrogobius sp",2,0,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"79",5,4,"Gobidae","Acentrogobius sp",1,0,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"80",5,4,"Gobidae","Acentrogobius sp",1,0,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,2,1
"81",5,4,"Eleotrididae","Bostrychus sinensis",5,22,"E",90.26,97.4,75,17.85714286,341.73,30.8,0,0.538521433,528.13,6,1
"82",5,5,NA,NA,0,0,"E",59.29,92.98,80,26.57142857,329.75,30.8,0,0.416738923,539.85,0,1
"83",6,1,NA,NA,0,0,"E",189.36,40.72,30.7,7.571428571,407.91,30.8,6,0.892062489,536.52,0,1
"84",6,2,"Horaichthyidae","Horaichthyidae",1,3,"E",166.46,85.96,20.5,23,383.63,30.8,3,0.304347826,511.56,2,1
"85",6,2,"Horaichthyidae","Horaichthyidae",1,3,"E",166.46,85.96,20.5,23,383.63,30.8,3,0.304347826,511.56,2,1
"86",6,2,"Gobidae","Acentrogobius sp",1,0,"E",166.46,85.96,20.5,23,383.63,30.8,3,0.304347826,511.56,2,1
"87",6,2,"Gobidae","Acentrogobius sp",1,0,"E",166.46,85.96,20.5,23,383.63,30.8,3,0.304347826,511.56,2,1
"88",6,2,"Gobidae","Acentrogobius sp",1,0,"E",166.46,85.96,20.5,23,383.63,30.8,3,0.304347826,511.56,2,1
"89",6,2,"Gobidae","Acentrogobius sp",1,0,"E",166.46,85.96,20.5,23,383.63,30.8,3,0.304347826,511.56,2,1
"90",6,3,"Horaichthyidae","Horaichthyidae",2.3,3,"E",150.36,96.88,50.8,34.57142857,369.69,30.8,0,0.710663715,522.81,4,1
"91",6,3,"Horaichthyidae","Horaichthyidae",2,3,"E",150.36,96.88,50.8,34.57142857,369.69,30.8,0,0.710663715,522.81,2,1
"92",6,3,"Horaichthyidae","Horaichthyidae",2,3,"E",150.36,96.88,50.8,34.57142857,369.69,30.8,0,0.710663715,522.81,2,1
"93",6,3,"Horaichthyidae","Horaichthyidae",2,3,"E",150.36,96.88,50.8,34.57142857,369.69,30.8,0,0.710663715,522.81,2,1
"94",6,4,"Gobidae","Acentrogobius sp",1,0,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"95",6,4,"Gobidae","Acentrogobius sp",1,0,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"96",6,4,"Gobidae","Acentrogobius sp",1,0,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"97",6,4,"Horaichthyidae","Horaichthyidae",2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"98",6,4,"Horaichthyidae","Horaichthyidae",2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"99",6,4,"Horaichthyidae","Horaichthyidae",2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"100",6,4,"Horaichthyidae","Horaichthyidae",2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"101",6,4,"Horaichthyidae","Horaichthyidae",1.2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"102",6,4,"Horaichthyidae","Horaichthyidae",2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"103",6,4,"Horaichthyidae","Horaichthyidae",2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"104",6,4,"Horaichthyidae","Horaichthyidae",2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"105",6,4,"Horaichthyidae","Horaichthyidae",2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"106",6,4,"Horaichthyidae","Horaichthyidae",2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"107",6,4,"Horaichthyidae","Horaichthyidae",2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"108",6,4,"Horaichthyidae","Horaichthyidae",2,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,2,1
"109",6,4,"Horaichthyidae","Horaichthyidae",2.8,3,"E",189,93.24,40.5,17.71428571,418.28,30.8,1,0.322177167,533.18,4,1
"110",6,5,"Gobidae","Acentrogobius sp",1,0,"E",140.1,97.4,60.5,29.14285714,375.77,30.8,19,0.38180789,530.24,2,1
"111",6,5,"Gobidae","Acentrogobius sp",1,0,"E",140.1,97.4,60.5,29.14285714,375.77,30.8,19,0.38180789,530.24,2,1
"112",6,5,"Gobidae","Acentrogobius sp",1,0,"E",140.1,97.4,60.5,29.14285714,375.77,30.8,19,0.38180789,530.24,2,1
"113",7,1,NA,NA,0,0,NA,272.36,56.32,40.9,30.57142857,530.52,40.81,1,0.344032304,553,0,1
"114",7,2,NA,NA,0,0,NA,276.92,88.56,70,29.28571429,521.1,40.81,9,0.582397624,553,0,1
"115",7,3,NA,NA,0,0,NA,299.7,95.58,80,25,558.63,40.81,2,0.537152989,553,0,1
"116",7,4,NA,NA,0,0,NA,275.97,94.94,60,30,544.54,40.81,0,0.385381004,553,0,1
"117",7,5,NA,NA,0,0,NA,250.65,95.58,60,44.57142857,510.61,40.81,5,0.598924611,553,0,1
"118",8,1,NA,NA,0,0,NA,341.2,79.2,40.5,12.14285714,612.96,35.81,5,0.923710486,553,0,1
"119",8,2,"Horaichthyidae","Horaichthyidae",2.4,3,"E",337.05,92.2,50.7,24.28571429,600.9,30.8,12,0.40881295,553,4,1
"120",8,2,"Horaichthyidae","Horaichthyidae",2,3,"E",337.05,92.2,50.7,24.28571429,600.9,30.8,12,0.40881295,553,2,1
"121",8,2,"Horaichthyidae","Horaichthyidae",2,3,"E",337.05,92.2,50.7,24.28571429,600.9,30.8,12,0.40881295,553,2,1
"122",8,2,"Horaichthyidae","Horaichthyidae",2,3,"E",337.05,92.2,50.7,24.28571429,600.9,30.8,12,0.40881295,553,2,1
"123",8,2,"Horaichthyidae","Horaichthyidae",2,3,"E",337.05,92.2,50.7,24.28571429,600.9,30.8,12,0.40881295,553,2,1
"124",8,2,"Horaichthyidae","Horaichthyidae",2,3,"E",337.05,92.2,50.7,24.28571429,600.9,30.8,12,0.40881295,553,2,1
"125",8,3,NA,NA,0,0,NA,347.7,98.18,40.9,26,625.88,30.8,10,0.548891657,553,0,1
"126",8,4,NA,NA,0,0,NA,362.96,93.76,50.2,25.42857143,631.36,30.8,0,0.586318792,553,0,1
"127",8,5,NA,NA,0,0,NA,318.61,97.14,50.4,53.14285714,593.66,30.8,1,0.518917015,553,0,1
"128",9,1,"Eleotrididae","Eleotris fusca",23,26,"E",55.79,96.88,40,41.57142857,167.96,40.08,8,0.433403137,376.1,24,1
"129",9,1,"Gobidae","Glosogobius",10,0,"E",55.79,96.88,40,41.57142857,167.96,40.08,8,0.433403137,376.1,10,1
"130",9,1,"Gobidae","Glosogobius",6,0,"E",55.79,96.88,40,41.57142857,167.96,40.08,8,0.433403137,376.1,6,1
"131",9,2,"Eleotrididae","Butis butis",15,15,"E",34.92,84.66,40.7,20.14285714,192.63,40.08,11,0.549420376,457.96,16,1
"132",9,2,"Gobidae","Glosogobius",4.6,0,"E",34.92,84.66,40.7,20.14285714,192.63,40.08,11,0.549420376,457.96,6,1
"133",9,2,"Gobidae","Glosogobius",5.2,0,"E",34.92,84.66,40.7,20.14285714,192.63,40.08,11,0.549420376,457.96,6,1
"134",9,2,"Gobidae","Acentrogobius sp",4.3,0,"E",34.92,84.66,40.7,20.14285714,192.63,40.08,11,0.549420376,457.96,6,1
"135",9,3,"Squid","Squid",2.2,0,"R",42.39,94.8,80.2,65.71428571,145.69,40.08,15,0.253376692,340.72,4,1
"136",9,3,"Gobidae","Glosogobius",5.3,0,"E",42.39,94.8,80.2,65.71428571,145.69,40.08,15,0.253376692,340.72,6,1
"137",9,3,"Gobidae","Glosogobius",5.4,0,"E",42.39,94.8,80.2,65.71428571,145.69,40.08,15,0.253376692,340.72,6,1
"138",9,3,"Toxotidae","Toxotes jaculatrix",6.48,30,"E",42.39,94.8,80.2,65.71428571,145.69,40.08,15,0.253376692,340.72,8,1
"139",9,3,"Gobidae","Acentrogobius sp",4.6,0,"E",42.39,94.8,80.2,65.71428571,145.69,40.08,15,0.253376692,340.72,6,1
"140",9,4,"Gobidae","Glosogobius",6,0,"E",42.7,87.78,50.9,36.71428571,181.62,40.08,17,0.172058954,371.7,6,1
"141",9,4,"Gobidae","Glosogobius",5.9,0,"E",42.7,87.78,50.9,36.71428571,181.62,40.08,17,0.172058954,371.7,6,1
"142",9,4,"Gobidae","Glosogobius",5.6,0,"E",42.7,87.78,50.9,36.71428571,181.62,40.08,17,0.172058954,371.7,6,1
"143",9,4,"Gobidae","Glosogobius",12,0,"E",42.7,87.78,50.9,36.71428571,181.62,40.08,17,0.172058954,371.7,12,1
"144",9,4,"Horaichthyidae","Horaichthyidae",2,3,"E",42.7,87.78,50.9,36.71428571,181.62,40.08,17,0.172058954,371.7,2,1
"145",9,5,"Eleotrididae","Butis butis",10,15,"E",68.32,98.7,40.4,61.85714286,167.51,40.08,0,0.16940653,160.51,10,1
"146",9,5,"Belonidae","Strongylura leiura",2.6,100,"E",68.32,98.7,40.4,61.85714286,167.51,40.08,0,0.16940653,160.51,4,1
"147",10,1,"Horaichthyidae","Horaichthyidae",2,3,"E",32.11,95.32,30.6,33.42857143,186.67,40.08,1,0.44062019,401.35,2,1
"148",10,1,"Horaichthyidae","Horaichthyidae",2,3,"E",32.11,95.32,30.6,33.42857143,186.67,40.08,1,0.44062019,401.35,2,1
"149",10,1,"Horaichthyidae","Horaichthyidae",2,3,"E",32.11,95.32,30.6,33.42857143,186.67,40.08,1,0.44062019,401.35,2,1
"150",10,2,"Apogonidae","Apogon amboinensis",6.8,7,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,8,1
"151",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"152",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"153",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"154",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"155",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"156",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"157",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"158",10,2,"Horaichthyidae","Horaichthyidae",2.5,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,4,1
"159",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"160",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"161",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"162",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"163",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"164",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"165",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"166",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"167",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"168",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"169",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"170",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"171",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"172",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"173",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"174",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"175",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"176",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"177",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"178",10,2,"Horaichthyidae","Horaichthyidae",2,3,"E",45.9,99.22,30,58.28571429,212.91,40.08,1,0.265370746,411.72,2,1
"179",10,3,"Eleotrididae","Bostrychus sinensis",10,22,"E",43.63,79.72,40.6,25.85714286,170.54,40.08,9,0.994413749,399.5,10,1
"180",10,3,"Hemiramphidae","Zenarchopterus dispar",12.4,19,"E",43.63,79.72,40.6,25.85714286,170.54,40.08,9,0.994413749,399.5,14,1
"181",10,4,"Sygnathidae","Halicampus grayii",6.5,20,"E",63.85,99.74,30.5,35.42857143,203.95,40.08,7,0.436012473,400.9,8,1
"182",10,4,"Horaichthyidae","Horaichthyidae",2,3,"E",63.85,99.74,30.5,35.42857143,203.95,40.08,7,0.436012473,400.9,2,1
"183",10,4,"Horaichthyidae","Horaichthyidae",2,3,"E",63.85,99.74,30.5,35.42857143,203.95,40.08,7,0.436012473,400.9,2,1
"184",10,4,"Gobidae","Acentrogobius sp",1,0,"E",63.85,99.74,30.5,35.42857143,203.95,40.08,7,0.436012473,400.9,2,1
"185",10,5,"Horaichthyidae","Horaichthyidae",2,3,"E",17.48,92.2,30.5,33,188.86,40.08,0,0.596387451,403.13,2,1
"186",10,5,"Horaichthyidae","Horaichthyidae",2,3,"E",17.48,92.2,30.5,33,188.86,40.08,0,0.596387451,403.13,2,1
"187",10,5,"Horaichthyidae","Horaichthyidae",2,3,"E",17.48,92.2,30.5,33,188.86,40.08,0,0.596387451,403.13,2,1
"188",10,5,"Gobidae","Acentrogobius sp",1.5,0,"E",17.48,92.2,30.5,33,188.86,40.08,0,0.596387451,403.13,2,1
"189",10,5,"Gobidae","Acentrogobius sp",1.5,0,"E",17.48,92.2,30.5,33,188.86,40.08,0,0.596387451,403.13,2,1
"190",10,5,"Gobidae","Acentrogobius sp",1.5,0,"E",17.48,92.2,30.5,33,188.86,40.08,0,0.596387451,403.13,2,1
"191",10,5,"Gobidae","Acentrogobius sp",1.5,0,"E",17.48,92.2,30.5,33,188.86,40.08,0,0.596387451,403.13,2,1
"192",10,5,"Gobidae","Acentrogobius sp",1.5,0,"E",17.48,92.2,30.5,33,188.86,40.08,0,0.596387451,403.13,2,1
"193",10,5,"Gobidae","Acentrogobius sp",1.5,0,"E",17.48,92.2,30.5,33,188.86,40.08,0,0.596387451,403.13,2,1
"194",10,5,"Gobidae","Acentrogobius sp",1.5,0,"E",17.48,92.2,30.5,33,188.86,40.08,0,0.596387451,403.13,2,1
